Longitude,Latitude,Company,Address,City,State,zipcode,Company Website,Feedstock,Status,Capacity [Mg/y],State Date
-97.78365325920,39.79444885230,Nesika Energy LLC,,Scandia,KS,,,corn,operating,10,March 2008
-91.22955100000,43.78347200000,New Energy Corp.,3201 West Calvert,South Bend,IN,46680,,Corn,operating,102,1984
-96.73291100000,45.86352400000,North Country Ethanol - LLC*,,Rosholt,SD,,,Corn,operating,20,April 2005
-76.41716003340,43.32284927400,Northeast Biofuels LLC,,Fulton,NY,,,corn,Not Producing,100,August 2008
-97.74700164810,40.88389968860,Northern Utilities LLC,,Bradshaw,NE,,,corn/various biomass,construction,100,to be determined
-97.26087800000,43.43250200000,NuGen Energy,27283 447th Avenue,Marion,SD,57043,http://www.verasun.com,corn,operating,110,February 2008
-88.37588333000,40.46528611000,One Earth Energy LLC,,Gibson City,IL,,,corn,operating,100,June 2009
-96.13374400000,46.31236500000,Otter Tail Ag Enterprises,24096 170th Avenue,Fergus Falls,MN,56537,http://www.ottertailethanol.com/,Corn,operating,58,March 2008
-119.70128600000,45.83786100000,Pacific Ethanol,,Boardman,OR,97818,http://www.pacificethanol.net,Corn,operating,40,August 2007
-120.06071472100,36.96133804320,Pacific Ethanol Madera LLC,,Madera,CA,,,corn,Not Producing,40,October 2006
-113.79278564500,42.53573989810,Pacific Ethanol Magic Valley LLC,,Burley,ID,,,corn,Not Producing,60,April 2008
-121.29077911500,37.95770263700,Pacific Ethanol Stockton LLC,,Stockton,CA,,,corn,Not Producing,60,September 2008
-102.39650700000,34.82205000000,Panda Ethanol,,Hereford,TX,,,Corn/milo,construction,115,unknown
-81.84313201850,27.89641380230,Parallel Products,,Bartow,FL,,,Beverage Waste,Not Producing,4,December 2001
-85.78922400000,38.22109600000,Parallel Products,1620 Bernheim Lane,Louisville,KY,40210,http://www.parallelproducts.com/,Beverage waste,operating,4,1995
-117.53772400000,34.09909700000,Parallel Products,12281 Arrow Route,Rancho Cucamonga,CA,91739,http://www.parallelproducts.com/,Beverage waste,operating,4,1981
-89.90475900000,41.39673800000,Patriot Renewable Fuels - LLC,,Annawan,IL,61234,http://www.patriotrenewablefuels.com/,Corn,operating,100,August 2008
-91.69550900000,41.92701500000,Penford Products,,Cedar Rapids,IA,52404,http://www.penfordproducts.com/,Corn,operating,37,October 2008
-91.24847412170,42.34388732880,Permeate Refining Inc.,,Hopkinton,IA,,,Sugars & Starches,operating,2,1990
-112.02815500000,33.04350900000,Pinal Energy - LLC,38585 W Cowtown Road,Maricopa,AZ,85239,http://www.pinalenergyllc.com/,Corn,operating,55,July 2007
-93.05675300000,42.45544600000,Pine Lake Corn Processors - LLC,33371 170th Street,Steamboat Rock,IA,50672,http://www.pinelakecorn.com,corn,operating,20,March 2005
-95.34746500000,42.33430600000,Platinum Ethanol - LLC*,,Arthur,IA,,http://www.platinum-ethanol.com/,Corn,operating,110,Dec 2008
-96.24641200000,42.71983700000,Plymouth Ethanol - LLC*,,Merrill,IA,,http://www.plymouth-energy.com/,Corn,operating,50,February 2009
-85.65278500000,40.29498800000,POET Biorefining - Alexandria,13179 N 100 E,Alexandria,IN,46001,http://www.poet.com,Corn,operating,65,April 2008
-95.80854000000,43.27229800000,POET Biorefining - Ashton,4970 260th Street,Ashton,IA,51232,http://www.poet.com,Corn,operating,55,March 2004
-96.54770600000,45.29781500000,POET Biorefining - Big Stone,48416 144th Street,Big Stone City,SD,57216,http://www.poet.com,Corn,operating,75,2002
-95.05895100000,43.90264200000,POET Biorefining - Bingham Lake,40212 510th Avenue,Bingham Lake,MN,56118,http://www.poet.com,corn,operating,30,1997
-83.40954200000,43.47360200000,POET Biorefining - Caro,1551 Empire Drive,Caro,MI,48723,http://www.poet.com,Corn,operating,50,2002
-96.96425000000,43.37133000000,POET Biorefining - Chancellor,27716 462nd Avenue,Chancellor,SD,57015,http://www.poet.com,Corn,operating,100,March 2003
-94.62859000000,41.86064400000,POET Biorefining - Coon Rapids,1015 Grant Avenue,Coon Rapids,IA,50058,http://www.poet.com,Corn,operating,54,2002
-94.79626000000,40.96734700000,POET Biorefining - Corning,1680 Brooks Road,Corning,IA,50841,http://www.poet.com,Corn,operating,60,May 2006
-94.63692600000,43.09745200000,POET Biorefining - Emmetsburg,4724 380th Street,Emmetsburg,IA,50536,http://www.poet.com,Corn,operating,50,April 2005
-83.40541600000,41.16327100000,POET Biorefining - Fostoria,,Fostoria,OH,,http://www.poet.com,Corn,operating,68,September 2008
-93.30959900000,43.81092900000,POET Biorefining - Glenville,15300 780th Avenue,Albert Lea,MN,56007,http://www.poet.com,Corn,operating,45,1999
-94.29030100000,42.32533700000,POET Biorefining - Gowrie,1562 320th Street,Gowrie,IA,50543,http://www.poet.com,Corn,operating,60,summer 2006
-93.38852300000,43.29012300000,POET Biorefining - Hanlontown,3638 Fir Avenue,Hanlontown,IA,50444,http://www.poet.com,Corn,operating,55,February 2004
-96.48001500000,43.09524300000,POET Biorefining - Hudson,29619 Spur Avenue,Hudson,SD,57034,http://www.poet.com,Corn,operating,55,May 2004
-93.65953000000,42.32502000000,POET Biorefining - Jewell,2601 320th Street,Jewell,IA,50130,http://www.poet.com,Corn,operating,60,March 2006
-91.64530700000,39.24665900000,POET Biorefining - Laddonia,809 North Pine,Laddonia,MO,63352,http://www.poet.com,Corn,operating,50,September 2006
-94.26882800000,44.14242700000,POET Biorefining - Lake Crystal,19200 499th Avenue,Lake Crystal,MN,56055,http://www.poet.com,Corn,operating,56,May 2005
-83.93841100000,41.12581600000,POET Biorefining - Leipsic,3875 State Route 65,Leipsic,OH,45856,http://www.poet.com,Corn,operating,60,fall 2007
-92.38352200000,39.74793300000,POET Biorefining - Macon,30211 Major Drive,Macon,MO,63552,http://www.poet.com,Corn,operating,36,2000
-83.12852400000,40.58866900000,POET Biorefining - Marion,,Marion,OH,,http://www.poet.com,Corn,operating,68,October 2008
-98.10472800000,43.80341500000,POET Biorefining - Mitchell,40509 247th Street,Mitchell,SD,57301,http://www.poet.com,Corn,operating,60,December 2006
-85.77447600000,40.99901300000,POET Biorefining - North Manchester,,North Manchester,IN,,http://www.poet.com,Corn,operating,68,September 2008
-85.01944400000,40.41670200000,POET Biorefining - Portland,1542 S. 200 West,Portland,IN,47371,http://www.poet.com,Corn,operating,60,September 2007
-92.09072500000,43.68614000000,POET Biorefining - Preston,701 N. Industrial Drive,Preston,MN,55965,http://www.poet.com,Corn,operating,46,1998
-97.71613200000,43.14858100000,POET Biorefining - Scotland,,Scotland,SD,,http://www.poet.com,Corn,operating,9,1988
-98.13932300000,45.45767900000,POET Biorefining- Groton,40425 133rd Street,Groton,SD,57445,http://www.poet.com,Corn,operating,50,May 2003
-99.43362400000,39.68649100000,Prairie Horizon Agri-Energy - LLC,1664 East 100 Road,Phillipsburg,KS,67661,http://www.prairiehorizon.com/,Corn,operating,40,July 2006
-95.41725800000,42.50700900000,Quad-County Corn Processors*,,Galva,IA,51020,http://www.quad-county.com/,Corn,operating,30,February 2002
-82.59219600000,32.37767400000,Range Fuels,,Soperton,GA,,http://www.rangefuels.com/,wood and wood waste,construction,10,second quarter 2010
-102.31478800000,46.88366300000,Red Trail Energy - LLC,,Richardton,ND,58652,http://redtrailenergyllc.com/,Corn,operating,50,December 2006
-98.50277000000,44.91178100000,Redfield Energy - LLC *,38650 171st Street,Redfield,SD,57469,http://www.redfieldenergy.com/,Corn,operating,50,December 2006
-100.86090300000,37.97499800000,Reeve Agri-Energy,5665 S US Highway 83,Garden City,KS,67846,,Corn/milo,operating,12,1981
-88.78891500000,43.03196800000,Renew Energy,,Jefferson Junction,WI,,,Corn,operating,130,July 2007
-104.18297700000,42.06322700000,Renova Energy,1919 East A Street,Torrington,WY,82240,http://www.renova-energy.com/,Corn,operating,12,Aug 2006
-90.03511810310,40.55809783890,Riverland Biofuels LLC,,Canton,IL,,,corn,operating,38,June 2007
