chem_code,casnum
890,"52704-98-0  "
891,"1113-38-8   "
892,"7783-18-8   "
895,"1399-80-0   "
897,"8008-51-3   "
899,"144-62-7    "
900,"80-46-6     "
901,"10124-65-9  "
901,"136396-86-6 "
902,"13429-27-1  "
903,"61789-30-8  "
904,"30346-73-7  "
905,"7681-38-1   "
907,"111726-87-5 "
907,"121481-64-9 "
907,"12738-53-3  "
907,"12765-21-8  "
907,"129203-37-8 "
907,"1334-67-4   "
907,"151-21-3    "
908,"68187-76-8  "
908,"8043-44-5   "
909,"1300-72-7   "
911,"139-89-9    "
912,"7492-30-0   "
915,"100-51-6    "
918,"1330-85-4   "
920,"10043-52-4  "
922,"13840-33-0  "
923,"53404-31-2  "
925,"88-04-0     "
926,"3547-33-9   "
928,"71820-38-7  "
930,"10124-41-1  "
931,"53466-92-5  "
932,"2026-24-6   "
933,"64-19-7     "
933,"77671-22-8  "
934,"79-14-1     "
935,"13707-65-8  "
936,"35471-49-9  "
937,"3184-65-4   "
941,"27176-87-0  "
942,"1321-94-4   "
945,"607-12-5    "
946,"10605-10-4  "
947,"53404-21-0  "
948,"85-97-2     "
949,"63992-41-6  "
950,"18128-17-1  "
953,"150-38-9    "
954,"139-33-3    "
955,"21908-53-2  "
956,"93-62-9     "
958,"53466-71-0  "
960,"374-03-0    "
960,"89465-86-1  "
961,"577-11-7    "
962,"94-09-7     "
963,"1404-88-2   "
964,"50-23-7     "
967,"138-93-2    "
968,"107-15-3    "
969,"2491-38-5   "
970,"137-41-7    "
971,"21564-17-0  "
972,"29803-57-4  "
973,"13701-59-2  "
974,"515-42-4    "
977,"1305-78-8   "
978,"138-87-4    "
979,"138-86-3    "
979,"5989-27-5   "
984,"27323-41-7  "
985,"112-38-9    "
986,"61791-34-2  "
991,"89-83-8     "
995,"544-60-5    "
998,"107-98-2    "
998,"58769-19-0  "
1000,"98-54-4     "
1001,"1397-94-0   "
1001,"518-75-2    "
1003,"7681-11-0   "
1004,"25265-71-8  "
1005,"99-76-3     "
1006,"102-71-6    "
1007,"471-34-1    "
1009,"5392-40-5   "
1010,"57-06-7     "
1011,"8000-27-9   "
1013,"8001-79-4   "
1015,"8001-29-4   "
1016,"32351-70-5  "
1017,"2235-54-3   "
1018,"67-56-1     "
1019,"16871-71-9  "
1021,"122-20-3    "
1022,"7558-80-7   "
1023,"7673-09-8   "
1024,"7758-29-4   "
1026,"69462-13-1  "
1027,"27177-77-1  "
1028,"7727-21-1   "
1030,"1983-10-4   "
1031,"2624-17-1   "
1032,"6365-73-7   "
1034,"107-88-0    "
1035,"28801-69-6  "
1036,"22968-84-9  "
